#ice-age (yr b1950)	R
3645.753333	1.455841133
3664.166667	1.455841133
3682.58	1.477745796
3700.726667	1.477745796
3718.873333	1.477745796
3737.02	1.492598392
3754.993333	1.492598392
3772.966667	1.492598392
3790.94	1.406214217
3810.026667	1.406214217
3829.113333	1.406214217
3848.2	1.385743297
3867.58	1.385743297
3886.96	1.385743297
3906.34	1.396396729
3925.696667	1.396396729
3945.053333	1.396396729
3964.41	1.383565953
3983.956667	1.383565953
4003.503333	1.383565953
4023.05	1.432493008
4041.94	1.432493008
4060.83	1.432493008
4079.72	1.431428637
4098.75	1.431428637
4117.78	1.431428637
4136.81	1.404226419
4156.106667	1.404226419
4175.403333	1.404226419
4194.7	1.422009681
4213.876667	1.422009681
4233.053333	1.422009681
4252.23	1.459602884
4270.926667	1.459602884
4289.623333	1.459602884
4308.32	1.409596876
4327.686667	1.409596876
4347.053333	1.409596876
4366.42	1.395667708
4385.993333	1.395667708
4405.566667	1.395667708
4425.14	1.402642012
4444.616667	1.402642012
4464.093333	1.402642012
4483.57	1.476224571
4502.196667	1.476224571
4520.823333	1.476224571
4539.45	1.361695311
4559.533333	1.361695311
4579.616667	1.361695311
4599.7	1.40187411
4619.333333	1.40187411
4638.966667	1.40187411
4658.6	1.397917954
4678.18	1.397917954
4697.76	1.397917954
4717.34	1.395930155
4737.08	1.395930155
4756.82	1.395930155
4776.56	1.352548523
4796.936667	1.352548523
4817.313333	1.352548523
4837.69	1.365777831
4857.883333	1.365777831
4878.076667	1.365777831
4898.27	1.448546059
4917.313333	1.448546059
4936.356667	1.448546059
4955.4	1.415662334
4974.896667	1.415662334
4994.393333	1.415662334
5013.89	1.385723856
5033.816667	1.385723856
5053.743333	1.385723856
5073.67	1.365554264
5093.896667	1.365554264
5114.123333	1.365554264
5134.35	1.441105181
5153.643333	1.441105181
5172.936667	1.441105181
5192.23	1.43324633
5211.516667	1.43324633
5230.803333	1.43324633
5250.09	1.374321962
5270.213333	1.374321962
5290.336667	1.374321962
5310.46	1.427511362
5329.96	1.427511362
5349.46	1.427511362
5368.96	1.424541815
5388.393333	1.424541815
5407.826667	1.424541815
5427.26	1.264895851
5449.29	1.264895851
5471.32	1.264895851
5493.35	1.29040674
5514.82	1.29040674
5536.29	1.29040674
5557.76	1.397898513
5577.706667	1.397898513
5597.653333	1.397898513
5617.6	1.406219077
5637.313333	1.406219077
5657.026667	1.406219077
5676.74	1.382681407
5696.92	1.382681407
5717.1	1.382681407
5737.28	1.428566013
5756.82	1.428566013
5776.36	1.428566013
5795.9	1.473585514
5814.726667	1.473585514
5833.553333	1.473585514
5852.38	1.471194324
5871.363333	1.471194324
5890.346667	1.471194324
5909.33	1.387483228
5929.466667	1.387483228
5949.603333	1.387483228
5969.74	1.324281933
5990.843333	1.324281933
6011.946667	1.324281933
6033.05	1.425888074
6052.66	1.425888074
6072.27	1.425888074
6091.88	1.381500392
6112	1.381500392
6132.12	1.381500392
6152.24	1.407521596
6172.113333	1.407521596
6191.986667	1.407521596
6211.86	1.396829282
6231.89	1.396829282
6251.92	1.396829282
6271.95	1.355420867
6292.6	1.355420867
6313.25	1.355420867
6333.9	1.362871466
6354.44	1.362871466
6374.98	1.362871466
6395.52	1.324388857
6416.67	1.324388857
6437.82	1.324388857
6458.97	1.450111025
6478.293333	1.450111025
6497.616667	1.450111025
6516.94	1.324238192
6538.106667	1.324238192
6559.273333	1.324238192
6580.44	1.358171708
6601.086667	1.358171708
6621.733333	1.358171708
6642.38	1.314308921
6663.73	1.314308921
6685.08	1.314308921
6706.43	1.399448899
6726.483333	1.399448899
6746.536667	1.399448899
6766.59	1.351576494
6787.346667	1.351576494
6808.103333	1.351576494
6828.86	1.368946644
6849.363333	1.368946644
6869.866667	1.368946644
6890.37	1.496272659
6909.136667	1.496272659
6927.903333	1.496272659
6946.67	1.371410736
6967.15	1.371410736
6987.63	1.371410736
7008.11	1.372645212
7028.583333	1.372645212
7049.056667	1.372645212
7069.53	1.338901242
7090.653333	1.338901242
7111.776667	1.338901242
7132.9	1.325613612
7154.113333	1.325613612
7175.326667	1.325613612
7196.54	1.238524717
7219.26	1.238524717
7241.98	1.238524717
7264.7	1.302873005
7286.306667	1.302873005
7307.913333	1.302873005
7329.52	1.446621443
7348.993333	1.446621443
7368.466667	1.446621443
7387.94	1.283106805
7409.91	1.283106805
7431.88	1.283106805
7453.85	1.314921299
7475.43	1.314921299
7497.01	1.314921299
7518.59	1.380679028
7539.016667	1.380679028
7559.443333	1.380679028
7579.87	1.468905197
7599.07	1.468905197
7618.27	1.468905197
7637.47	1.404683272
7657.55	1.404683272
7677.63	1.404683272
7697.71	1.410821632
7717.826667	1.410821632
7737.943333	1.410821632
7758.06	1.409324708
7778.086667	1.409324708
7798.113333	1.409324708
7818.14	1.386438297
7838.503333	1.386438297
7858.866667	1.386438297
7879.23	1.387201339
7899.72	1.387201339
7920.21	1.387201339
7940.7	1.414894432
7960.806667	1.414894432
7980.913333	1.414894432
8001.02	1.323766758
8022.516667	1.323766758
8044.013333	1.323766758
8065.51	1.271505645
8087.903333	1.271505645
8110.296667	1.271505645
8132.69	1.338575613
8153.98	1.338575613
8175.27	1.338575613
8196.56	1.243608426
8219.493333	1.243608426
8242.426667	1.243608426
8265.36	1.32109368
8286.946667	1.32109368
8308.533333	1.32109368
8330.12	1.327168858
8351.616667	1.327168858
8373.113333	1.327168858
8394.61	1.288768871
8416.75	1.288768871
8438.89	1.288768871
8461.03	1.335873373
8482.393333	1.335873373
8503.756667	1.335873373
8525.12	1.379541755
8545.816667	1.379541755
8566.513333	1.379541755
8587.21	1.387133297
8607.79	1.387133297
8628.37	1.387133297
8648.95	1.423948878
8669.003333	1.423948878
8689.056667	1.423948878
