# distance(km)	flowwidth
37.9	0.617247289
38	0.628637708
38.1	0.640124307
38.2	0.651706516
38.3	0.663384512
38.4	0.675164272
38.5	0.687051323
38.6	0.699030318
38.7	0.711088296
38.8	0.723219552
38.9	0.735376166
39	0.747502601
39.1	0.759625475
39.2	0.771827331
39.3	0.784160838
39.4	0.796679277
39.5	0.809411168
39.6	0.822329636
39.7	0.835384954
39.8	0.848523232
39.9	0.861739753
40	0.87507402
40.1	0.888582596
40.2	0.902340819
40.3	0.916291483
40.4	0.930304656
40.5	0.944311802
40.6	0.958285074
40.7	0.972210234
40.8	0.9861048
40.9	1
