#depth (m)	ice-age (yr b1950)	origin	thinning
99.55	2.482973333	NaN	NaN
100.1	2.501916667	NaN	NaN
100.65	2.52086	NaN	NaN
101.2	2.538836667	NaN	NaN
101.75	2.556813333	NaN	NaN
102.3	2.57479	NaN	NaN
102.85	2.592536667	NaN	NaN
103.4	2.610283333	NaN	NaN
103.95	2.62803	NaN	NaN
104.5	2.645516667	NaN	NaN
105.05	2.663003333	NaN	NaN
105.6	2.68049	NaN	NaN
106.15	2.698623333	NaN	NaN
106.7	2.716756667	NaN	NaN
107.25	2.73489	NaN	NaN
107.8	2.752643333	NaN	NaN
108.35	2.770396667	NaN	NaN
108.9	2.78815	NaN	NaN
109.45	2.804983333	NaN	NaN
110	2.821816667	NaN	NaN
110.55	2.83865	NaN	NaN
111.1	2.855313333	NaN	NaN
111.65	2.871976667	NaN	NaN
112.2	2.88864	NaN	NaN
112.75	2.90675	NaN	NaN
113.3	2.92486	NaN	NaN
113.85	2.94297	NaN	NaN
114.4	2.961046667	NaN	NaN
114.95	2.979123333	NaN	NaN
115.5	2.9972	NaN	NaN
116.05	3.016216667	NaN	NaN
116.6	3.035233333	NaN	NaN
117.15	3.05425	NaN	NaN
117.7	3.072566667	NaN	NaN
118.25	3.090883333	NaN	NaN
118.8	3.1092	NaN	NaN
119.35	3.127056667	NaN	NaN
119.9	3.144913333	NaN	NaN
120.45	3.16277	NaN	NaN
121	3.181626667	NaN	NaN
121.55	3.200483333	NaN	NaN
122.1	3.21934	NaN	NaN
122.65	3.239543333	NaN	NaN
123.2	3.259746667	NaN	NaN
123.75	3.27995	NaN	NaN
124.3	3.299556667	NaN	NaN
124.85	3.319163333	NaN	NaN
125.4	3.33877	NaN	NaN
125.95	3.358116667	NaN	NaN
126.5	3.377463333	NaN	NaN
127.05	3.39681	NaN	NaN
127.6	3.416733333	NaN	NaN
128.15	3.436656667	NaN	NaN
128.7	3.45658	NaN	NaN
129.25	3.475966667	NaN	NaN
129.8	3.495353333	NaN	NaN
130.35	3.51474	NaN	NaN
130.9	3.533356667	NaN	NaN
131.45	3.551973333	NaN	NaN
132	3.57059	NaN	NaN
132.55	3.589506667	NaN	NaN
133.1	3.608423333	NaN	NaN
133.65	3.62734	NaN	NaN
134.2	3.645753333	NaN	NaN
134.75	3.664166667	NaN	NaN
135.3	3.68258	NaN	NaN
135.85	3.700726667	NaN	NaN
136.4	3.718873333	NaN	NaN
136.95	3.73702	NaN	NaN
137.5	3.754993333	NaN	NaN
138.05	3.772966667	NaN	NaN
138.6	3.79094	NaN	NaN
139.15	3.810026667	NaN	NaN
139.7	3.829113333	NaN	NaN
140.25	3.8482	NaN	NaN
140.8	3.86758	NaN	NaN
141.35	3.88696	NaN	NaN
141.9	3.90634	NaN	NaN
142.45	3.925696667	NaN	NaN
143	3.945053333	NaN	NaN
143.55	3.96441	NaN	NaN
144.1	3.983956667	NaN	NaN
144.65	4.003503333	NaN	NaN
145.2	4.02305	NaN	NaN
145.75	4.04194	NaN	NaN
146.3	4.06083	NaN	NaN
146.85	4.07972	NaN	NaN
147.4	4.09875	NaN	NaN
147.95	4.11778	NaN	NaN
