# distance (km)	QLEDC12590	A_QLEDC14100	QLEDC14850	QLEDC15710	A_QLEDC17670	QLEDC18725	A_QLEDC21170	QLEDC22200	A_QLEDC23240	A_QLEDC24650	A_QLEDC25500	QLEDC26790	QLEDC27040	QLEDC29300	QLLDC_LINE1001_START25870	QLLDC_LINE1001_START26260	A_QLECD31150	A_QLEDC32850	QLLDC_LINE1001_START27750_A
9.4	1060.96	1186.64	1246.9	1314.64	1474.96	1560.59	1708.17	1838.96	1925.18	2042.81	2115.29	2230.68	2252.6	2431.91	2473.4	2518.01	2571.35	2626.06	2735.33
9.5	1062	1186.01	1246.49	1313.99	1474.89	1560.01	1708.65	1838.11	1925.59	2041.89	2116.63	2230.91	2253.11	2433.39	2474.76	2517.72	2573.46	2626.48	2736.8
9.6	1061.23	1185.4	1246.19	1313.4	1478.06	1559.94	1709.09	1838.17	1925.57	2042.97	2117.9	2232.58	2253.73	2433.88	2476.27	2517.93	2575.59	2627.77	2740.85
9.7	1061.72	1184.6	1247.56	1312.1	1477.08	1560.52	1709.63	1838.61	1926.44	2044.96	2119.43	2234.34	2256.21	2435.34	2478.09	2520.48	2578.21	2629.3	2744.65
9.8	1061.84	1183.83	1246.01	1314.22	1475.93	1561.05	1710.26	1840.64	1927.46	2047.28	2121.21	2236.83	2259.15	2437.21	2480.21	2523.45	2579.95	2631.1	2747.84
9.9	1060.16	1183.68	1245.78	1316.84	1475.28	1561.05	1710.85	1840.48	1928.49	2049.59	2123.2	2239.74	2262.94	2439.32	2482.33	2526.42	2582	2632.89	2750.79
10	1061.05	1183.68	1246.56	1313.84	1475.82	1561.79	1711.49	1841.81	1930.35	2052.15	2126.31	2242.41	2264.63	2443.38	2484.67	2530.02	2584.26	2634.87	2749.08
10.1	1063.47	1183.68	1248.34	1314.52	1476.57	1562.86	1712.19	1843.19	1932.25	2056.05	2129.72	2246.18	2267.87	2446.58	2486.59	2534.32	2588.94	2639.88	2751.2
10.2	1064.15	1183.68	1248.72	1316.08	1478.45	1564.54	1712.9	1845.68	1935.48	2060.09	2133.12	2249.37	2272.12	2450.63	2491.55	2538.62	2593.61	2645.56	2756.95
10.4	1065.13	1183.68	1249.49	1317.84	1480.15	1567.62	1715.59	1849.59	1940.69	2067.09	2139.01	2258.41	2280.5	2458.01	2501.35	2546.12	2603.54	2653.83	2767.75
10.5	1065.88	1183.68	1249.37	1318.65	1480.91	1568.72	1717.22	1851.3	1943.07	2070.43	2142.17	2262.04	2284.3	2462.99	2507.31	2549.5	2608.38	2657.73	2772.67
10.6	1067.98	1184.03	1250.22	1320.1	1481.66	1570.27	1718.85	1853.64	1945.41	2074.04	2145.76	2266.47	2288.86	2469.77	2512.72	2552.87	2613.13	2661.63	2777.97
10.7	1066.39	1185.34	1250.95	1319.57	1482.4	1571.44	1720.44	1854.9	1947.87	2077.57	2149.27	2270.24	2293.51	2472.52	2513.81	2556.17	2616.99	2665.44	2783.49
10.8	1066.68	1186.53	1250.28	1319.59	1483.07	1571.99	1721.88	1856.52	1949.36	2080.78	2152.46	2271.51	2295.07	2474.33	2514.71	2556.94	2617.97	2668.9	2782.91
10.9	1066.22	1187.63	1250.41	1319.51	1483.32	1572.38	1722	1857.38	1950.03	2083.08	2155.41	2273.83	2296.68	2475.46	2515.54	2557.64	2617.49	2670.2	2779.96
11	1065.88	1187.63	1250.33	1320.15	1483.32	1572.38	1721.43	1858.09	1950.72	2085.33	2157.21	2275.37	2297.67	2475.33	2516.28	2558.37	2615.94	2670.2	2778.21
11.1	1065.24	1187.63	1249.73	1319.89	1483.32	1572.12	1720.91	1857.75	1951.35	2087.39	2158.13	2275.39	2299.06	2477.24	2516.92	2559.04	2614.43	2670.2	2776.69
11.2	1065.35	1187.63	1249.13	1318.76	1483.32	1571.91	1720.39	1858.15	1951.99	2088.15	2159.05	2276.17	2298.38	2476.54	2517.56	2559.4	2612.91	2670.2	2775.18
11.3	1064.56	1186.95	1248.6	1317.73	1483.32	1571.73	1719.87	1858.11	1952.59	2087.2	2159.97	2277.41	2298.96	2476.25	2518.2	2560.3	2614.22	2668.94	2775.35
11.4	1063.01	1186.03	1247.51	1317.36	1483.32	1571.1	1719.36	1857.9	1952.72	2086.95	2160.6	2276.56	2299.15	2476.37	2518.59	2561.02	2616.12	2667.22	2775.58
