# depth_(m) age 39.8 origin
0.000000000005740403 -0.051738416055328959 39.8 0.999999999999999001
4.911970246602827217 0.012792955540344736 39.8 0.999142013096211756
9.819282389599360172 0.092227707552487173 39.8 0.998099381244738071
14.721936428995624269 0.181438331631467831 39.8 0.997015030742257946
19.619932364791623058 0.276928643446734124 39.8 0.995856666344525077
24.513270196987065219 0.384599465254128969 39.8 0.994599385917069423
29.401949925582240297 0.496964018221884019 39.8 0.993273691142574022
34.285971550577151845 0.611977373643013300 39.8 0.991887163767035562
39.165335071971504988 0.729912852704017734 39.8 0.990447998903277393
44.040040489765587495 0.851269724794726401 39.8 0.988954308079119326
48.910087803959122255 0.975936936919813425 39.8 0.987409519515929923
53.775477014552386379 1.104726529317189954 39.8 0.985821790672062548
58.636208121545386973 1.232904250596787765 39.8 0.984183193896616682
63.492281124937825609 1.363658007655168314 39.8 0.982503079339422825
68.343696024730007821 1.498976605015575059 39.8 0.980779949949840857
73.190452820921905186 1.640773798880756473 39.8 0.979024224042418401
78.032551513513269015 1.788364325695972923 39.8 0.977223490917705107
82.869992102504355103 1.936740577319507439 39.8 0.975394736581918220
87.702774587894879232 2.087345618048375595 39.8 0.973538076792923923
92.530898969685139832 2.241836207734687392 39.8 0.971641161607857295
97.354365247875136902 2.400589962040217351 39.8 0.969709944236945898
102.173173422464586224 2.564744093546952985 39.8 0.967764663704479666
106.987323493453757806 2.720367258778436437 39.8 0.965791896851080578
111.796815460842381640 2.871391804902958977 39.8 0.963801988124397435
116.601649324630727733 3.029821455849757594 39.8 0.961795978103082150
121.401825084818824507 3.190422422971468830 39.8 0.959775082523274703
126.197342741406345112 3.362199383306785805 39.8 0.957715575119397200
130.988202294393602187 3.532134483727747742 39.8 0.955643794352315279
135.774403743780595732 3.694841650067638650 39.8 0.953558018740660596
140.555947089567041530 3.856141201357262016 39.8 0.951465243479539979
145.332832331753223798 4.025824995330185452 39.8 0.949364378714807500
150.105059470338858318 4.192255381937926018 39.8 0.947259062734561619
154.872628505324200887 4.358678096694220017 39.8 0.945146785323772165
159.635539436709279926 4.526718504153692813 39.8 0.943035459627235229
164.393792264493811217 4.698791448304990404 39.8 0.940919396631262339
169.147386988678078978 4.873583323334123918 39.8 0.938801845368232635
173.896323609262083210 5.043752869178668163 39.8 0.936685934934488706
178.640602126245511272 5.215846059666869650 39.8 0.934566716314400470
183.380222539628704226 5.387508448719939835 39.8 0.932448771165748536
188.115184849411321011 5.571329228120766253 39.8 0.930332765211168700
192.845489055593674266 5.745236746721661625 39.8 0.928216237567727087
197.571135158175735569 5.912392511170406095 39.8 0.926098293202922695
202.292123157157277547 6.089332393025718382 39.8 0.923984975681313658
207.008453052538527572 6.264441086650769819 39.8 0.921870241440012395
211.720124844319258273 6.445553322134074392 39.8 0.919757609202911941
216.427138532499697021 6.623953017124439846 39.8 0.917647078971137287
221.129494117079872240 6.805018514006467178 39.8 0.915538650745953420
225.827191598059471289 6.979631994426980235 39.8 0.913430496444658457
230.520230975438835230 7.161630352317858161 39.8 0.911323587716418304
235.208612249217907220 7.351184580637844412 39.8 0.909219895234282038
239.892335419396459884 7.536047796081760453 39.8 0.907116932732668024
244.571400485974720596 7.710292360087430907 39.8 0.905014501960697659
249.245807448952433560 7.887194855967977425 39.8 0.902914173206747384
253.915556308329854573 8.068446833090819226 39.8 0.900811433868928257
258.580647064107040478 8.262786325733468829 39.8 0.898706283950370444
263.241079716283650214 8.453217384227727393 39.8 0.896603236058973629
267.896854264859996420 8.636859729297782451 39.8 0.894502290198335603
272.547970709836079095 8.816554380725436957 39.8 0.892403446372392772
277.194429051211614023 8.996456145525254300 39.8 0.890306704585445696
281.836229288986885422 9.172437349846878973 39.8 0.888212064842181737
286.473371423161609073 9.348459275612235331 39.8 0.886119527147701591
291.105855453736012350 9.517285140613399363 39.8 0.884029091507545384
295.733681380710208941 9.687279542052463555 39.8 0.881940757927722196
300.356849204083800942 9.849496787973480494 39.8 0.879854526414737492
304.975358923857186255 10.018624091183390590 39.8 0.877770396975624090
309.589210540030251195 10.185544046600405466 39.8 0.875688369617972029
314.198404052602768388 10.350024758764149624 39.8 0.873608444349963764
318.802939461575022051 10.521760099158610657 39.8 0.871530621180404919
323.402816766946727967 10.683723164426476515 39.8 0.869454900118761032
327.998035968718170352 10.855870057268724338 39.8 0.867381281175192642
332.588597066889349207 11.029448168645091144 39.8 0.865309764360593259
337.174500061459980316 11.202988318387477662 39.8 0.863240349686627551
341.755744952430347894 11.378500622862762981 39.8 0.861173037165770761
346.332331739800110881 11.550180785450168131 39.8 0.859107826811351116
350.904260423569667182 11.721646671113630234 39.8 0.857044718637590242
355.471531003738903109 11.900425992489475746 39.8 0.854983712659648232
360.034143480307648133 12.089781033389504827 39.8 0.852924808893668396
364.592097853276072783 12.298611319708809830 39.8 0.850868007356822997
369.145394122644233903 12.523937563913012383 39.8 0.848813308067361327
373.694032288411847276 12.766682151193622374 39.8 0.846760711044658332
378.238012350579197118 13.032434074410829794 39.8 0.844710216309264683
382.777334309145999214 13.295403171204851489 39.8 0.842661823882959515
387.311998164112537779 13.555272874507412695 39.8 0.840615533788801494
391.842003915478812814 13.817333666772681156 39.8 0.838571346051184330
396.367351563244483259 14.083768177405472599 39.8 0.836529260695892951
400.888041107409947017 14.335836219858929752 39.8 0.834489277750159242
405.404072547975090401 14.579147781549506746 39.8 0.832451397242721214
409.915445884939742882 14.806128148509007048 39.8 0.830415619203883404
414.422161118304074989 15.067512882007326525 39.8 0.828381943665576714
