# distance(km)	inverted_thickness (m)
38.00	2644.3700
38.10	2638.1813
38.20	2633.4455
38.30	2629.3405
38.40	2623.9476
38.50	2619.0484
38.60	2613.8789
38.70	2603.7512
38.80	2594.9503
38.90	2587.8400
39.00	2583.6253
39.10	2579.9972
39.20	2580.1342
39.30	2573.7049
39.40	2549.3369
39.50	2558.4808
39.60	2556.1712
39.70	2556.2296
39.80	2557.9793
39.90	2554.9036
40.00	2555.5487
40.10	2552.8945
40.20	2553.5817
40.30	2551.3412
40.40	2551.6937
40.50	2551.2333
40.60	2550.6386
40.70	2550.7644
40.80	2553.3316
40.90	2552.7153
41.00	2551.6735
41.10	2550.8084
41.20	2550.4038
