# depth (m)	relative density
0	0.36363636363636365
0.55	0.3454545454545454
1.1	0.32727272727272727
1.65	0.39999999999999997
2.2	0.3818181818181819
2.75	0.3818181818181819
3.3	0.4363636363636361
3.85	0.4909090909090907
4.4	0.4545454545454547
4.95	0.4909090909090915
5.5	0.4727272727272725
6.05	0.4363636363636369
6.6	0.4727272727272717
7.15	0.4545454545454547
7.7	0.5090909090909089
8.25	0.47272727272727255
8.8	0.4727272727272733
9.35	0.4727272727272717
9.9	0.4909090909090927
10.45	0.4909090909090895
11	0.454545454545454
11.55	0.4909090909090927
12.1	0.5090909090909089
12.65	0.4909090909090911
13.2	0.5090909090909089
13.75	0.5090909090909089
14.3	0.5090909090909089
14.85	0.49090909090909113
15.4	0.5090909090909089
15.95	0.5090909090909089
16.5	0.5454545454545444
17.05	0.5272727272727267
17.6	0.5454545454545495
18.15	0.5454545454545429
18.7	0.5454545454545461
19.25	0.5454545454545461
19.8	0.5636363636363606
20.35	0.5818181818181853
20.9	0.5636363636363638
21.45	0.5636363636363638
22	0.5818181818181783
22.55	0.5636363636363638
23.1	0.5818181818181853
23.65	0.5999999999999993
24.2	0.5818181818181816
24.75	0.5999999999999993
25.3	0.5999999999999993
25.85	0.5818181818181853
26.4	0.5999999999999961
26.95	0.6181818181818204
27.5	0.5999999999999993
28.05	0.6181818181818172
28.6	0.6181818181818212
29.15	0.6181818181818172
29.7	0.6363636363636349
30.25	0.6181818181818172
30.8	0.6363636363636349
31.35	0.6181818181818212
31.9	0.636363636363634
32.45	0.6363636363636358
33	0.6363636363636422
33.55	0.636363636363634
34.1	0.6363636363636358
34.65	0.6545454545454484
35.2	0.6363636363636422
35.75	0.6545454545454569
36.3	0.6727272727272693
36.85	0.6545454545454569
37.4	0.6727272727272693
37.95	0.6545454545454569
38.5	0.6727272727272781
39.05	0.6545454545454484
39.6	0.6909090909090927
40.15	0.6727272727272693
40.7	0.6727272727272715
41.25	0.6909090909090991
41.8	0.6727272727272628
42.35	0.6909090909090991
42.9	0.6909090909090837
43.45	0.6909090909090927
44	0.6909090909090991
44.55	0.7090909090908981
45.1	0.6909090909090991
45.65	0.6909090909090837
46.2	0.7090909090909138
46.75	0.7090909090909138
47.3	0.7090909090908981
47.85	0.727272727272735
48.4	0.6909090909090837
48.95	0.727272727272735
49.5	0.7272727272727284
50.05	0.7272727272727191
50.6	0.727272727272735
51.15	0.7090909090909047
51.7	0.7454545454545496
52.25	0.7272727272727284
52.8	0.7272727272727191
53.35	0.727272727272735
53.9	0.7454545454545335
54.45	0.745454545454556
55	0.7636363636363707
55.55	0.7454545454545335
56.1	0.745454545454556
56.65	0.7454545454545335
57.2	0.7636363636363707
57.75	0.7454545454545431
58.3	0.7454545454545464
58.85	0.7636363636363707
59.4	0.7636363636363479
59.95	0.7818181818181853
60.5	0.7636363636363707
61.05	0.7636363636363608
61.6	0.7818181818181853
62.15	0.7636363636363608
62.7	0.8
63.25	0.7818181818181853
63.8	0.7636363636363707
64.35	0.7818181818181651
64.9	0.7818181818181853
65.45	0.7818181818181853
66	0.8
66.55	0.8000000000000129
67.1	0.7999999999999793
67.65	0.7818181818181853
68.2	0.8
68.75	0.8000000000000129
69.3	0.8
69.85	0.7999999999999793
70.4	0.8
70.95	0.8181818181818276
71.5	0.8
72.05	0.8181818181818276
72.6	0.8181818181818065
73.15	0.8181818181818147
73.7	0.8181818181818276
74.25	0.8363636363636422
74.8	0.8181818181818147
75.35	0.7999999999999923
75.9	0.8181818181818147
76.45	0.8545454545454569
77	0.8363636363636422
77.55	0.8363636363636422
78.1	0.8181818181818065
78.65	0.8363636363636422
79.2	0.8363636363636293
79.75	0.8545454545454698
80.3	0.8363636363636422
80.85	0.8363636363636077
81.4	0.8363636363636422
81.95	0.8545454545454569
82.5	0.8545454545454698
83.05	0.8363636363636293
83.6	0.8181818181818065
84.15	0.8727272727272845
84.7	0.8545454545454569
85.25	0.8545454545454569
85.8	0.8545454545454569
86.35	0.8545454545454348
86.9	0.8727272727272845
87.45	0.8545454545454569
88	0.8727272727272716
88.55	0.8727272727272845
89.1	0.872727272727249
89.65	0.8545454545454569
90.2	0.8727272727272845
90.75	0.8727272727272716
91.3	0.8909090909090991
91.85	0.872727272727249
92.4	0.8727272727272845
92.95	0.8909090909090862
93.5	0.8727272727272716
94.05	0.8909090909091121
94.6	0.9090909090908903
95.15	0.8909090909090862
95.7	0.8909090909091121
96.25	0.8909090909090862
96.8	0.8909090909090862
97.35	0.8727272727272619
97.9	0.8909090909090862
98.45	0.8909090909091121
99	0.8909090909090862
99.55	0.9090909090909138
100.1	0.8909090909090632
100.65	0.9090909090909138
101.2	0.9090909090909138
101.75	0.8909090909091121
102.3	0.9090909090909138
102.85	0.9090909090908903
103.4	0.9090909090909138
103.95	0.9090909090909138
104.5	0.9090909090909138
105.05	0.9090909090909138
105.6	0.9090909090908903
106.15	0.9272727272727155
106.7	0.9090909090909138
107.25	0.9090909090909138
107.8	0.9272727272727413
108.35	0.9090909090908903
108.9	0.9090909090909138
109.45	0.9090909090909138
110	0.9272727272727413
110.55	0.9272727272727155
111.1	0.9272727272727174
111.65	0.9272727272727413
112.2	0.9454545454545431
112.75	0.9090909090909138
113.3	0.9090909090909138
113.85	0.9090909090908903
114.4	0.9454545454545431
114.95	0.9272727272727413
115.5	0.9272727272727155
116.05	0.9272727272727413
116.6	0.9272727272727174
117.15	0.9272727272727155
117.7	0.9272727272727413
118.25	0.9272727272727413
118.8	0.9272727272727155
119.35	0.9454545454545445
119.9	0.9454545454545431
120.45	0.9454545454545431
121	0.9454545454545431
121.55	0.945454545454569
122.1	0.9636363636363457
122.65	0.9454545454545431
123.2	0.9454545454545431
123.75	0.9636363636363707
124.3	0.9454545454545431
124.85	0.9636363636363457
125.4	0.945454545454569
125.95	0.9636363636363449
126.5	0.9636363636363707
127.05	0.945454545454569
127.6	0.9636363636363457
128.15	0.9636363636363956
128.7	0.96363636363632
129.25	0.9636363636363457
129.8	0.9454545454545934
130.35	0.9636363636363457
130.9	0.9636363636363697
131.45	0.9636363636363457
132	0.9636363636363457
132.55	0.9636363636363956
133.1	0.9818181818181729
133.65	0.9636363636363956
134.2	0.9636363636363457
134.75	0.9636363636363457
135.3	0.9636363636363697
135.85	0.9818181818181729
136.4	0.9636363636363956
136.95	0.9636363636363457
137.5	0.9818181818181471
138.05	0.9636363636363956
138.6	0.9818181818181729
139.15	0.9636363636363956
139.7	0.9636363636363457
140.25	0.9818181818181471
140.8	0.9636363636363956
141.35	0.9818181818181729
141.9	0.9818181818181978
142.45	0.9636363636363457
143	0.9818181818181729
143.55	0.9818181818181978
144.1	0.9636363636363457
144.65	0.9818181818182237
145.2	0.9818181818181471
145.75	0.9636363636363457
146.3	0.9818181818182237
146.85	0.9818181818181471
147.4	0.9818181818182237
147.95	0.9818181818181729
148.5	0.9636363636363457
149.05	0.9818181818181978
149.6	0.9818181818181729
150.15	0.9818181818181978
150.7	0.9818181818181729
151.25	0.9818181818181471
151.8	0.9818181818182237
152.35	0.9818181818181471
152.9	0.9818181818182237
153.45	0.9818181818181729
154	0.9818181818181471
154.55	0.9818181818182237
155.1	0.9818181818181471
155.65	0.9818181818182237
156.2	0.9818181818181471
156.75	0.9818181818181729
157.3	0.9818181818181978
157.85	0.9818181818181729
158.4	0.9818181818182237
158.95	0.9999999999999741
159.5	0.9818181818181471
160.05	0.9818181818182237
160.6	0.9818181818181471
161.15	0.9818181818182494
161.7	0.9818181818181471
162.25	0.9999999999999484
162.8	0.9818181818182494
163.35	0.9818181818181471
163.9	0.9818181818181978
164.45	1
165	0.9818181818181471
165.55	0.9818181818181978
166.1	0.9818181818181987
166.65	1
167.2	0.9818181818181987
167.75	0.9818181818181471
168.3	1
168.85	0.9818181818181987
169.4	0.9818181818181978
169.95	1
170.5	0.9818181818181471
171.05	0.9818181818181978
171.6	1
172.15	0.9818181818181978
172.7	0.9818181818181471
173.25	1
173.8	0.9818181818181978
174.35	0.9818181818181471
174.9	1.0000000000000517
175.45	0.9818181818181471
176	1
176.55	0.9818181818181978
177.1	1
177.65	0.9818181818181978
178.2	0.9818181818181471
178.75	1
179.3	0.9818181818181978
179.85	1
180.4	0.9818181818181978
180.95	1
181.5	0.9818181818181471
182.05	1.0000000000000517
182.6	0.9818181818181471
183.15	1.0000000000000517
183.7	0.9818181818181471
184.25	0.9999999999999484
184.8	0.9818181818182494
185.35	0.9999999999999484
185.9	0.9818181818182494
186.45	0.9999999999999484
187	0.9818181818181471
187.55	1.0000000000000517
188.1	0.9818181818181471
188.65	1.0000000000000517
189.2	0.9818181818181471
189.75	1
190.3	0.9818181818181978
190.85	1
191.4	0.9818181818181978
191.95	1
192.5	0.9999999999999484
193.05	0.9818181818181978
193.6	1
194.15	0.9818181818181978
194.7	1
195.25	0.9818181818181471
195.8	1.0000000000000517
196.35	0.9999999999999484
196.9	0.9818181818182494
197.45	0.9999999999999484
198	0.9818181818181987
198.55	1
199.1	0.9818181818181471
199.65	1.0000000000000517
200.2	1
200.75	0.9818181818181471
201.3	1.0000000000000517
201.85	0.9999999999999484
202.4	0.9818181818181978
202.95	1
203.5	0.9818181818181471
204.05	1.0000000000000517
204.6	0.9999999999999484
205.15	0.9818181818182494
205.7	0.9999999999999484
206.25	1
206.8	0.9818181818181978
207.35	1
207.9	0.9818181818181978
208.45	1
209	0.9999999999999484
209.55	0.9818181818182494
210.1	0.9999999999999484
210.65	1.0000000000000517
211.2	0.9818181818181471
211.75	1
212.3	1
212.85	0.9818181818181987
213.4	1
213.95	1
214.5	0.9818181818181471
215.05	1.0000000000000517
215.6	0.9999999999999484
216.15	0.9818181818182494
216.7	0.9999999999999484
217.25	1
217.8	0.9818181818181978
218.35	1
218.9	1
219.45	0.9818181818181471
220	1
220.55	1.0000000000000517
221.1	0.9818181818181471
221.65	1.0000000000000517
222.2	0.9999999999999484
222.75	0.9818181818181471
223.3	1.0000000000000517
223.85	1
224.4	1
224.95	0.9818181818181987
225.5	0.9999999999999484
226.05	1.0000000000000517
226.6	0.9818181818181471
227.15	1.0000000000000517
227.7	0.9999999999999484
228.25	0.9818181818181471
228.8	1.0000000000000517
229.35	1
229.9	1
230.45	0.9818181818181987
231	0.9999999999999484
231.55	1.0000000000000517
232.1	0.9818181818181471
232.65	1.0000000000000517
233.2	0.9999999999999484
233.75	1
234.3	0.9818181818181978
234.85	1
235.4	1
235.95	0.9818181818181987
236.5	0.9999999999999484
237.05	1.0000000000000517
237.6	0.9999999999999484
238.15	0.9818181818182494
238.7	0.9999999999999484
239.25	1
239.8	1
240.35	0.9818181818181987
240.9	1
241.45	1
242	1
242.55	0.9818181818181978
243.1	0.9999999999999484
243.65	1.0000000000000517
244.2	1
244.75	0.9818181818181471
245.3	1.0000000000000517
245.85	0.9999999999999484
246.4	1.0000000000000517
246.95	0.9818181818181471
247.5	1
248.05	1
248.6	1
249.15	0.9818181818181978
249.7	1
250.25	1.
5000.	1.
