#distance (km)	QLEDC12590	A_QLEDC14100	QLEDC14850	QLEDC15710	A_QLEDC17670	QLEDC18725	A_QLEDC21170	QLEDC22200	A_QLEDC23240	A_QLEDC24650	A_QLEDC25500	QLEDC26790	QLEDC27040	QLEDC29300	QLLDC_LINE1001_START25870	QLLDC_LINE1001_START26260	A_QLECD31150	A_QLEDC32850	QLLDC_LINE1001_START27750_A
9.4	1061.07	1185.75	1246.08	1313.59	1475.07	1559.91	1708.84	1838.08	1925.76	2042.22	2117.18	2231.26	2253.15	2432.77	2475.41	2517.61	2574.31	2627.03	2738.33
9.5	1061.71	1185.14	1246.67	1313.81	1477.71	1560.15	1709.28	1839.23	1926.14	2043.68	2118.96	2233.13	2254.87	2434.09	2476.92	2518.84	2576.51	2628.31	2741.9
9.6	1062.15	1184.67	1246.25	1314.36	1476.63	1560.59	1709.87	1838.97	1926.65	2045.85	2120.12	2235.4	2257.67	2436.64	2478.91	2521.63	2578.7	2630	2746.04
9.7	1062.65	1183.68	1246.53	1317.21	1475.58	1560.85	1710.44	1839.96	1927.69	2047.98	2121.75	2237.88	2260.79	2437.5	2480.86	2524.36	2580.58	2631.65	2748.74
9.8	1062.15	1183.68	1247.16	1313.53	1474.86	1561.38	1711	1842.03	1929.11	2050.21	2123.95	2240.22	2262.42	2441.74	2482.89	2527.2	2582.54	2633.37	2751.3
9.9	1062.07	1183.68	1246.9	1314.08	1476.06	1562.15	1711.61	1841.65	1930.66	2052.69	2126.89	2243.17	2264.77	2444.19	2485.1	2530.75	2584.68	2635.64	2749.2
10	1063.15	1183.68	1248.37	1316.01	1477.25	1563.22	1712.29	1842.97	1932.67	2056.6	2130.18	2246.28	2268.35	2446.72	2487.57	2534.9	2588.5	2640.58	2751.95
10.1	1064.17	1183.68	1248.42	1315.87	1478.67	1564.51	1712.94	1845.88	1935.55	2060.37	2133.35	2249.9	2272.39	2450.69	2491.92	2538.91	2593.96	2645.73	2757.37
10.2	1064.45	1183.68	1248.56	1317.65	1479.38	1566.56	1713.93	1847.75	1938.28	2063.93	2136.35	2254.19	2276.7	2455.05	2496.8	2542.7	2598.6	2649.85	2762.84
10.3	1065.01	1183.68	1249.23	1317.86	1480.12	1567.68	1715.52	1849.54	1940.59	2066.95	2138.89	2257.99	2280.1	2458.03	2501.08	2545.97	2603.33	2653.66	2767.53
10.4	1066.2	1183.68	1249.47	1318.31	1480.82	1568.39	1717.04	1851.21	1942.32	2070.03	2141.78	2262.97	2283.84	2462.34	2506.65	2549.12	2607.84	2657.3	2772.12
10.5	1065.98	1183.86	1250.03	1318.95	1481.56	1570.15	1718.63	1853.01	1945.22	2073.56	2145.28	2265.57	2288.23	2466.47	2512.01	2552.42	2612.57	2661.11	2777.22
10.6	1065.3	1185.1	1250.44	1319.6	1482.26	1571.25	1720.15	1854.68	1947.3	2076.93	2148.63	2270.06	2292.02	2471.16	2513.63	2555.57	2616.55	2664.74	2782.48
10.7	1066.61	1186.26	1250.58	1319.71	1482.92	1572.03	1721.56	1856.53	1949.19	2080.05	2151.74	2272.2	2294.15	2472.33	2514.51	2556.76	2618.33	2668.12	2783.62
10.8	1065.76	1187.36	1250.37	1319.6	1483.32	1572.31	1722.13	1857.15	1949.86	2082.43	2154.69	2274.08	2295.85	2475.54	2515.34	2557.47	2617.65	2670.2	2780.68
10.9	1066.95	1187.63	1250.25	1319.9	1483.32	1572.54	1721.58	1858.18	1950.53	2084.74	2156.95	2275.16	2297.11	2474.34	2516.1	2558.18	2616.37	2670.2	2778.64
11	1065.43	1187.76	1249.27	1319.2	1483.32	1572.45	1721.06	1857.92	1951.17	2086.8	2157.87	2275.82	2298.32	2474.75	2516.21	2558.85	2614.86	2670.2	2777.13
11.1	1065.07	1187.63	1249.7	1318.99	1483.32	1572.08	1720.54	1858.26	1951.8	2088.33	2158.79	2276.92	2297.94	2476.57	2517.38	2559.62	2613.35	2670.2	2775.61
11.2	1064.65	1187.25	1248.51	1318.39	1483.32	1571.78	1720.03	1857.81	1953.16	2087.73	2159.68	2276.55	2298.81	2476.76	2518	2560.16	2613.73	2669.51	2775.2
11.3	1062.96	1186.07	1247.82	1317.74	1483.32	1571.33	1719.52	1858	1952.68	2087.14	2160.52	2277.1	2298.63	2475.92	2518.62	2560.81	2615.26	2667.78	2775.58
11.4	1062.08	1185.38	1246.85	1317.3	1483.32	1571.14	1719	1858.22	1952.82	2086.77	2160.79	2277.46	2299.09	2475.14	2518.21	2561.46	2616.04	2666.01	2776.33
11.5	1061.83	1184.43	1246.07	1316.63	1483.72	1570.7	1718.94	1857.93	1952.95	2087.36	2161.06	2277.33	2299.14	2476.95	2517.67	2561.72	2615.67	2664.24	2769.27
11.6	1060.85	1183.51	1245.9	1315.57	1483.32	1570.18	1718.94	1858.37	1953.08	2087.93	2161.32	2277.99	2298.97	2474.44	2517.14	2561.54	2614.78	2662.17	2762.96
11.7	1059.79	1182.56	1244.88	1314.82	1483.32	1569.76	1718.94	1857.8	1953.22	2088.51	2161.59	2277.46	2298.95	2473.7	2516.59	2562.23	2613.77	2660.75	2758.5
11.8	1058	1181.64	1243.38	1314.15	1482.4	1569.55	1718.83	1857.54	1953.35	2089.09	2161.85	2276.66	2297.66	2472.47	2514.86	2562.48	2611.1	2659.03	2754.72
11.9	1057.55	1180.69	1242.2	1312.79	1482.52	1568.99	1718.23	1857.45	1953.77	2089.67	2162.12	2276.35	2298.16	2470.41	2512.12	2562.74	2609.34	2657.27	2751.62
12	1056.85	1179.74	1242.55	1313.22	1481.84	1568.98	1717.64	1858.01	1954.72	2090.31	2162.4	2277.26	2299.8	2472.22	2509.92	2563	2610.27	2656.41	2750.36
12.1	1055.37	1178.79	1242.1	1312.06	1481.38	1568.93	1717.04	1858.71	1955.68	2090.7	2163.69	2278.37	2299.67	2470.49	2509.92	2563.49	2610.56	2656.41	2750.64
12.2	1055.45	1178.62	1240.8	1311.92	1480.89	1569.36	1716.53	1859.64	1956.49	2091.11	2164.94	2279.95	2302.26	2472.12	2509.92	2564.56	2612.01	2656.47	2751.49
12.3	1054.46	1178.05	1240.4	1312.1	1480.43	1569.17	1716.13	1859.26	1957.52	2091.48	2166.1	2280.36	2301.1	2472.11	2509.92	2565.27	2612.76	2658.31	2754.15
12.4	1053.62	1177.33	1239.57	1311.35	1479.86	1569.16	1716.41	1860.05	1959.15	2092.05	2167.56	2280.68	2301.96	2473.36	2510.43	2565.91	2613.69	2660.62	2757.46
12.5	1052.28	1176.57	1238.9	1310.01	1479.26	1568.11	1716.7	1860.52	1960.93	2093.12	2169.72	2281.83	2304.11	2474.02	2511.44	2566.59	2614.62	2663.05	2760.97
12.6	1051.04	1175.85	1238.19	1309.41	1478.68	1568.07	1716.98	1860.76	1962.49	2095.64	2171.09	2283.16	2304.19	2475.58	2512.39	2566.93	2615.61	2665.35	2761.9
12.7	1050.73	1175.17	1237.58	1308.72	1478.15	1568.66	1717.24	1862.14	1964.02	2097.47	2172.72	2284.06	2306.04	2475.31	2513.28	2567.06	2616.69	2667.52	2761.43
12.8	1049.85	1174.55	1237.19	1309.41	1479.38	1569.21	1717.5	1863.38	1965.55	2099.31	2174.85	2285.36	2307.64	2476.9	2514.18	2567.42	2618.02	2669.69	2763.15
12.9	1049.14	1173.82	1236.94	1308.59	1480.67	1569.72	1717.76	1864.97	1967.08	2101.49	2176.73	2287.16	2310.01	2477.61	2515.08	2567.66	2619.33	2671.86	2765.81
13	1049.41	1173.16	1236.79	1308.95	1481.91	1570.24	1718.01	1866.74	1968.52	2103.61	2178.82	2289.24	2312.21	2478.75	2517.47	2567.9	2620.6	2673.97	2768.57
13.1	1049.93	1172.54	1236.28	1308.69	1483.3	1570.97	1718.43	1867.93	1970.4	2105.8	2180.44	2291.64	2313.39	2480.58	2519.97	2568.15	2621.92	2676.14	2771.42
13.2	1048.16	1171.84	1236.41	1310.1	1484.13	1572	1720.02	1869.28	1971.92	2107.98	2182.26	2293.34	2316.76	2482.78	2522.3	2568.39	2623.24	2677.58	2774.27
13.3	1047.7	1172.28	1236.29	1309.11	1485.78	1572.86	1721.29	1871.72	1974.15	2110.17	2184.42	2295.44	2318.49	2484.77	2524.37	2569.44	2624.5	2678.95	2776.7
13.4	1047.64	1172.75	1236.61	1309.63	1487.02	1573.7	1722.52	1872.89	1975.96	2112.28	2186.03	2297.76	2318.6	2485.61	2526.27	2570.83	2625.43	2680.28	2779.39
13.5	1047.93	1173.16	1236.59	1309.56	1488.31	1574.48	1723.79	1874.56	1977.84	2114.47	2187.91	2299.42	2320.1	2487.88	2527.58	2572.28	2626.41	2681.19	2781.13
13.6	1047.96	1173.61	1236.56	1309.91	1489.4	1575.52	1725.1	1877.15	1979.77	2116.34	2189.39	2301.03	2321.88	2488.62	2527.87	2573.76	2627.39	2683.06	2780.23
13.7	1046.88	1174.06	1236.72	1310.03	1490.41	1576.47	1726.37	1878.15	1981.64	2117.86	2190.55	2303.3	2326.06	2491.59	2528.14	2575.21	2628.29	2684.43	2775.42
13.8	1046.57	1174.5	1236.97	1310.49	1491.43	1577.26	1727.72	1879.66	1983.52	2119.37	2191.71	2303.03	2325.83	2492.43	2528.42	2576.65	2629.13	2685.8	2772.87
13.9	1046.35	1174.96	1237.22	1310.59	1492.48	1578.36	1729.57	1881.12	1985.45	2120.93	2192.9	2304.53	2326.9	2492.5	2529.21	2577.61	2630	2687.22	2772.5
14	1045.89	1175.41	1237.56	1311.56	1493.52	1579.52	1731.42	1882.89	1987.59	2122.49	2194.1	2305.93	2328.24	2494.97	2532.42	2578.2	2630.86	2688.63	2776.16
14.1	1045.75	1175.86	1238.5	1312.53	1494.54	1580.88	1733.22	1884.56	1989.25	2124.01	2195.26	2308.03	2330.51	2497.36	2536.44	2578.77	2633.23	2690	2783.37
14.2	1045.47	1176.31	1238.6	1313.69	1495.58	1582.41	1735.08	1887.22	1991.61	2126.95	2196.53	2310.47	2332.57	2502.95	2542.66	2581.78	2637.34	2691.41	2793.27
14.3	1046.45	1176.77	1239.74	1313.83	1496.63	1584.08	1736.93	1890.11	1994.02	2130.4	2200.22	2314.47	2336.87	2506.02	2549.06	2586.46	2642.35	2703.55	2805.5
14.4	1046.12	1177.09	1239.7	1315.25	1497.52	1585.88	1738.78	1893.07	1996.44	2133.84	2203.91	2318.56	2341.39	2510.34	2556.32	2591.15	2649.92	2717.99	2818.25
14.5	1047.87	1177.09	1240.58	1315.92	1498.91	1587.79	1740.4	1896.24	1998.85	2137.29	2207.6	2322.27	2343.96	2514.47	2561.6	2599.57	2661	2732.43	2830.99
14.6	1047.31	1177.09	1241	1316.94	1500.39	1589.29	1742.01	1899.18	2001.26	2140.33	2211.29	2326.39	2347.6	2520.09	2564.3	2610.61	2672.08	2746.86	2843.74
14.7	1046.5	1177.09	1241.74	1317.53	1501.8	1590.68	1743.68	1900.95	2003.75	2143.12	2214.93	2329.57	2351.53	2525.68	2562.48	2621.98	2680.96	2751.62	2856.86
14.8	1046.6	1177.09	1242.14	1318.72	1502.95	1591.85	1745.34	1902.78	2006.23	2145.92	2215.94	2328.7	2349.67	2527.17	2557.32	2616.89	2673.28	2754.71	2855.13
14.9	1046.71	1177.09	1242.54	1319.1	1504	1592.55	1747	1903.5	2008.3	2144.45	2216.48	2326.06	2349.35	2519.7	2554.37	2610.26	2664.47	2748.58	2843.63
15	1046.59	1177.09	1243.09	1319.77	1504.75	1593.37	1747.76	1903.48	2007.92	2142.86	2213.92	2323.2	2345.82	2515.49	2551.43	2603.62	2656.09	2735.53	2832.05
15.1	1046.61	1177.09	1242.84	1320.07	1505.46	1594.22	1748.33	1903.93	2007.53	2140.92	2211.89	2320.41	2342.77	2511.7	2548.48	2600.39	2651.45	2727.02	2820.59
15.2	1049.55	1177.09	1244.5	1321.04	1506.58	1595.28	1748.91	1904.23	2006.63	2138.79	2209.52	2317.85	2338.9	2509.49	2545.45	2597.06	2646.68	2723.82	2815.02
15.3	1047.93	1177.09	1244.83	1322.28	1507.51	1596.67	1749.5	1905.3	2006.73	2136.94	2207.16	2316.6	2338.76	2507.05	2543.95	2595.37	2643.9	2720.62	2811.39
15.4	1047.99	1176.93	1245.94	1323.3	1509.55	1597.87	1750.07	1905.9	2007.56	2136.54	2204.86	2314.75	2336.7	2505.06	2544.18	2593.99	2643.9	2717.5	2808.68
15.5	1048.32	1178.66	1246.89	1324.68	1511.12	1599.49	1751.14	1907.11	2008.91	2136.13	2203.35	2313.98	2335.86	2503.61	2544.1	2593.56	2643.81	2714.9	2806.65
15.6	1049.01	1180.43	1248.42	1327.04	1513.09	1601.51	1752.31	1908.64	2010.33	2135.69	2203.8	2313.65	2334.74	2503.09	2544.92	2594.97	2645.87	2717.23	2808.51
15.7	1051.36	1182.43	1250.41	1329.98	1516.64	1604.68	1754.84	1911.63	2012	2135.32	2204.78	2314.64	2335.25	2504.73	2548.02	2596.56	2649.64	2719.87	2815.08
15.8	1052.43	1184.48	1253.82	1332.86	1519.82	1608.3	1758.6	1915.18	2015.07	2140.35	2207.17	2316.48	2338.35	2506.68	2551.47	2599.73	2654.2	2722.74	2822.14
15.9	1054.26	1187.13	1256.72	1336.64	1523.61	1612.14	1762.36	1918.34	2018.38	2144.02	2209.55	2318.25	2339.82	2509.28	2554.93	2602.95	2658.8	2727.42	2830.16
16	1055.57	1189.92	1259.5	1340.41	1527.29	1616.02	1766.04	1922.07	2021.29	2146.6	2211.88	2319.56	2340.14	2511.27	2558.17	2606.09	2663.04	2731.98	2835.54
16.1	1057.97	1191.72	1262.75	1343	1530.83	1619.28	1768.99	1925.32	2023.87	2149.1	2213.99	2321.54	2341.4	2512.99	2560.24	2609.24	2668.26	2736.13	2837.85
16.2	1060.65	1195.1	1267.05	1346.56	1534.05	1623.33	1772.87	1929.21	2026.73	2151.54	2216.21	2324.16	2344.26	2515.99	2562.42	2611.93	2674.17	2740.48	2840.27
16.3	1062.66	1197.47	1268.68	1350.16	1537.1	1626.4	1775.82	1932.13	2029.31	2152.86	2218.02	2325.1	2345.61	2517.05	2564.38	2614.63	2679.31	2744.41	2842.59
16.4	1063.52	1199.95	1272.79	1352.54	1540.36	1629.93	1778.85	1934.91	2031.97	2154.22	2219.17	2327.1	2347.7	2519.94	2566.39	2618.01	2684.69	2748.45	2849.77
16.5	1067.48	1202.14	1275.18	1356.16	1543.52	1633.64	1781.72	1938.42	2033.88	2155.62	2220.83	2329.27	2350.72	2522.2	2568.46	2622.23	2690.22	2752.59	2855.73
